Date,Time,Open,High,Low,Close,Volume
2023.01.04,19:45,1.20698,1.20757,1.20616,1.20656,1363
2023.01.04,20:00,1.20656,1.20726,1.20626,1.20691,1403
2023.01.04,20:15,1.20689,1.20724,1.20634,1.20647,874
2023.01.04,20:30,1.20648,1.20677,1.20596,1.20604,734
2023.01.04,20:45,1.20602,1.20675,1.20537,1.20537,1068
2023.01.04,21:00,1.20624,1.20672,1.20402,1.20544,2971
2023.01.04,21:15,1.20543,1.20681,1.20487,1.20504,2524
2023.01.04,21:30,1.20505,1.20614,1.20498,1.20552,1945
2023.01.04,21:45,1.20551,1.20612,1.20528,1.20587,1506
2023.01.04,22:00,1.20585,1.20611,1.20544,1.20565,1473
2023.01.04,22:15,1.20562,1.20667,1.20548,1.2062,1490
2023.01.04,22:30,1.2062,1.20661,1.20583,1.20596,1803
2023.01.04,22:45,1.20597,1.20643,1.20566,1.20583,1264
2023.01.04,23:00,1.20588,1.20588,1.20543,1.20568,551
2023.01.04,23:15,1.20567,1.20574,1.20563,1.20568,416
2023.01.04,23:30,1.20567,1.20579,1.20557,1.2056,583
2023.01.04,23:45,1.2056,1.2058,1.20543,1.20543,719
2023.01.05,00:00,1.2056,1.20561,1.2051,1.20542,10
2023.01.05,00:15,1.20544,1.20572,1.20544,1.20572,16
2023.01.05,00:30,1.20571,1.20571,1.2055,1.2055,45
2023.01.05,00:45,1.20549,1.20581,1.20548,1.20575,88
2023.01.05,01:00,1.20582,1.2065,1.20557,1.2056,364
2023.01.05,01:15,1.20564,1.20588,1.2056,1.20567,543
2023.01.05,01:30,1.20568,1.20599,1.20548,1.20585,375
2023.01.05,01:45,1.20582,1.20586,1.20556,1.20556,267
2023.01.05,02:00,1.20556,1.20557,1.20502,1.20523,613
2023.01.05,02:15,1.20518,1.20705,1.20518,1.207,799
2023.01.05,02:30,1.20704,1.20706,1.20603,1.2062,884
2023.01.05,02:45,1.20617,1.20774,1.20606,1.20726,1167
2023.01.05,03:00,1.20728,1.20769,1.20708,1.20727,980
2023.01.05,03:15,1.20729,1.20743,1.20658,1.20666,656
2023.01.05,03:30,1.20664,1.20676,1.20607,1.20628,857
2023.01.05,03:45,1.20627,1.20685,1.20609,1.20629,1095
